
Odczyt danych o terenie z pliku teren.map

  rozmiar sektora = 480.000000
  czas odnowy przedmiotu = 120.000000
  czy_toroidalnosc = 0
  granica_x = -1.000000
  granica_z = -1.000000
  liczba sekt. = 372
    mapa w=0, k=0, l.oczek = 16
  przedm.248, typ = 0, wartosc = 100.000000
wstawiam przedmiot 34635016: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 1, k = -3
  przedm.249, typ = 0, wartosc = 100.000000
wstawiam przedmiot 34635112: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 2, k = -2
  przedm.250, typ = 0, wartosc = 100.000000
wstawiam przedmiot 34635208: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 2, k = -3
  przedm.251, typ = 0, wartosc = 100.000000
wstawiam przedmiot 34635304: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 3, k = -2
  przedm.252, typ = 0, wartosc = 100.000000
wstawiam przedmiot 34635400: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 3, k = -3
  przedm.253, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34635496: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 8, k = -1
  przedm.254, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34635592: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 7, k = -1
  przedm.255, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34635688: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 7, k = -1
  przedm.256, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34635784: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 7, k = -1
  przedm.257, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34635880: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 7, k = -1
  przedm.258, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34635976: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 10, k = -2
  przedm.259, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34636072: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 10, k = -2
  przedm.260, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34636168: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 9, k = -2
  przedm.261, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34636264: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 9, k = -2
  przedm.262, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34636360: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 9, k = -2
  przedm.263, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34636456: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 9, k = -2
  przedm.264, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34636552: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 9, k = -3
  przedm.265, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34636648: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 9, k = -3
  przedm.266, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34636744: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 9, k = -3
  przedm.267, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34636840: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 1, k = -7
  przedm.268, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34636936: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 1, k = -7
  przedm.269, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34637032: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 1, k = -6
  przedm.270, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34637128: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 1, k = -6
  przedm.271, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34637224: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = -6
  przedm.272, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34637320: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = -5
  przedm.273, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34637416: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = -5
  przedm.274, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34637512: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = -5
  przedm.275, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34637608: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = -4
  przedm.276, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34637704: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -2, k = -1
  przedm.277, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34637800: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -3, k = 0
  przedm.278, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34637896: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -4, k = 4
  przedm.279, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34637992: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -4, k = 4
  przedm.280, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34638088: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -4, k = 4
  przedm.281, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34638184: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -4, k = 4
wstawiam przedmiot 34638184: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -3, k = 4
  przedm.282, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34638280: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -4, k = 4
  przedm.283, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34638376: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -3, k = 7
  przedm.284, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34638472: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -3, k = 6
  przedm.285, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34638568: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -3, k = 7
  przedm.286, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34638664: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -3, k = 6
  przedm.287, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34638760: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -3, k = 7
  przedm.288, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34638856: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -3, k = 7
  przedm.289, typ = 1, wartosc = 10.000000
wstawiam przedmiot 34638952: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -4, k = 7
  przedm.290, typ = 0, wartosc = 100.000000
wstawiam przedmiot 34639048: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 4, k = -4
  przedm.291, typ = 0, wartosc = 100.000000
wstawiam przedmiot 34639144: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 3, k = -4
  przedm.292, typ = 0, wartosc = 100.000000
wstawiam przedmiot 34639240: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 4, k = -4
  przedm.293, typ = 0, wartosc = 100.000000
wstawiam przedmiot 34639336: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 4, k = -4
  przedm.294, typ = 0, wartosc = 100.000000
wstawiam przedmiot 34639432: moneta o wartosci 100.000000 i srednicy 1.000000 w sektor w = 4, k = -4
  przedm.295, typ = 0, wartosc = 100.000000
